zip,lat,lgt
02370,42.128251958,-70.912590113
02375,42.028226934,-71.094432686
02379,42.02656456,-71.015014294
02382,42.080923121,-70.938350773
02420,42.455223465,-71.218014297
02421,42.43440534,-71.232175992
02445,42.332623772,-71.128944848
02446,42.342794296,-71.121735709
02447,42.332476,-71.11838
02451,42.394248035,-71.246709719
02452,42.394987922,-71.225057613
02453,42.370104978,-71.236509376
02454,42.376229,-71.241389
02455,42.404644,-71.234086
02458,42.355174316,-71.190057069
02459,42.320059356,-71.191376333
02460,42.35258993,-71.208288576
02461,42.318193822,-71.208376554
02462,42.329172916,-71.257304032
02464,42.312735456,-71.220867011
02465,42.35209203,-71.227425034
02466,42.345024854,-71.246778953
02467,42.316368677,-71.163417314
02468,42.327093649,-71.229653354
02471,42.367305,-71.187417
02472,42.370933858,-71.181058155
02474,42.416533787,-71.153195439
02476,42.417825543,-71.174017568
02478,42.38960278,-71.174560286
02481,42.313214296,-71.275828273
02482,42.298292198,-71.299157704
02492,42.279067988,-71.23523388
02493,42.360281123,-71.299760442
02494,42.298040127,-71.231325694
02532,41.746337808,-70.606372385
02534,41.66607505,-70.617435303
02535,41.351156415,-70.754600358
02536,41.581951492,-70.563861699
02537,41.730696467,-70.44058155
02538,41.777599931,-70.651361765
02539,41.386436995,-70.535447494
02540,41.563507263,-70.619632997
02541,41.553274,-70.61803
02542,41.658624378,-70.578585924
02543,41.526279785,-70.66511801
02554,41.276971727,-70.100654214
02556,41.645558456,-70.61827909
02557,41.452276016,-70.561559358
02558,41.745754834,-70.658713134
02559,41.692461162,-70.609902393
02561,41.771026018,-70.537116424
02562,41.790515169,-70.53481761
02563,41.733254553,-70.485787722
02568,41.448396253,-70.599036333
02571,41.752325296,-70.712879316
02574,41.5908,-70.6114
02575,41.366289763,-70.686387292
02576,41.778670439,-70.758139023
02584,41.27147,-70.090868
02601,41.654098348,-70.296091585
02630,41.700356715,-70.301232788
02631,41.752515117,-70.068518132
02632,41.659619463,-70.347967168
02633,41.68606499,-69.975809799
02634,41.6678,-70.3462
02635,41.625199953,-70.439643071
02637,41.701768331,-70.274123429
02638,41.732563101,-70.191401154
02639,41.664492265,-70.133069372
02641,41.7315,-70.1594
02642,41.838616465,-69.985375544
02644,41.696707026,-70.502112977
02645,41.703497485,-70.048910773
02646,41.669648202,-70.076034543
02647,41.632447,-70.303008
02648,41.664853323,-70.415641881
02649,41.614446842,-70.487455894
